time_s,tp,tn,fp,fn,dr,fpr,precision,f1,mcc,atk_error_m,rsr,amsr,i_leak,mcar,nsd,detection_ms,hausdorff_m,dtw_m,poi_retention
95.5000,16,189,11,64,0.2000,0.0550,0.5926,0.2991,0.2219,272.7388,0.8000,0.2000,0.5454,0.9450,0.6967,24.6275,272.7388,260.7388,0.7428
96.0000,7,193,7,73,0.0875,0.0350,0.5000,0.1489,0.1088,273.7343,0.9125,0.0875,0.5438,0.9650,0.6725,24.1661,273.7343,261.7343,0.7391
96.5000,15,185,15,65,0.1875,0.0750,0.5000,0.2727,0.1643,265.4461,0.8125,0.1875,0.5576,0.9250,0.6792,27.1133,265.4461,253.4461,0.7320
97.0000,14,191,9,66,0.1750,0.0450,0.6087,0.2718,0.2139,264.9393,0.8250,0.1750,0.5584,0.9550,0.6950,23.8279,264.9393,252.9393,0.7436
97.5000,13,187,13,67,0.1625,0.0650,0.5000,0.2453,0.1518,273.2603,0.8375,0.1625,0.5446,0.9350,0.6775,25.3576,273.2603,261.2603,0.7488
98.0000,16,190,10,64,0.2000,0.0500,0.6154,0.3019,0.2335,271.0285,0.8000,0.2000,0.5483,0.9500,0.7000,25.1324,271.0285,259.0285,0.7264
98.5000,12,189,11,68,0.1500,0.0550,0.5217,0.2330,0.1563,268.6628,0.8500,0.1500,0.5522,0.9450,0.6800,23.3541,268.6628,256.6628,0.7249
99.0000,14,190,10,66,0.1750,0.0500,0.5833,0.2692,0.2017,264.8846,0.8250,0.1750,0.5585,0.9500,0.6917,22.4965,264.8846,252.8846,0.7364
99.5000,13,184,16,67,0.1625,0.0800,0.4483,0.2385,0.1223,264.7500,0.8375,0.1625,0.5587,0.9200,0.6675,22.4249,264.7500,252.7500,0.7384
100.0000,9,194,6,71,0.1125,0.0300,0.6000,0.1895,0.1655,263.8551,0.8875,0.1125,0.5602,0.9700,0.6842,24.5702,263.8551,251.8551,0.7296
100.5000,13,191,9,67,0.1625,0.0450,0.5909,0.2549,0.1973,273.1409,0.8375,0.1625,0.5448,0.9550,0.6908,27.2765,273.1409,261.1409,0.7423
101.0000,17,186,14,63,0.2125,0.0700,0.5484,0.3063,0.2052,272.0935,0.7875,0.2125,0.5465,0.9300,0.6908,24.9377,272.0935,260.0935,0.7337
101.5000,11,185,15,69,0.1375,0.0750,0.4231,0.2075,0.0973,266.5708,0.8625,0.1375,0.5557,0.9250,0.6625,24.2063,266.5708,254.5708,0.7430
102.0000,17,187,13,63,0.2125,0.0650,0.5667,0.3091,0.2154,263.5236,0.7875,0.2125,0.5608,0.9350,0.6942,22.6839,263.5236,251.5236,0.7338
102.5000,10,187,13,70,0.1250,0.0650,0.4348,0.1942,0.0987,270.4641,0.8750,0.1250,0.5492,0.9350,0.6650,25.8140,270.4641,258.4641,0.7322
103.0000,10,184,16,70,0.1250,0.0800,0.3846,0.1887,0.0700,265.3033,0.8750,0.1250,0.5578,0.9200,0.6550,26.5056,265.3033,253.3033,0.7407
103.5000,11,194,6,69,0.1375,0.0300,0.6471,0.2268,0.2034,269.9757,0.8625,0.1375,0.5500,0.9700,0.6925,22.9225,269.9757,257.9757,0.7278
104.0000,12,194,6,68,0.1500,0.0300,0.6667,0.2449,0.2210,267.8515,0.8500,0.1500,0.5536,0.9700,0.6967,23.3895,267.8515,255.8515,0.7295
104.5000,15,191,9,65,0.1875,0.0450,0.6250,0.2885,0.2300,270.9911,0.8125,0.1875,0.5483,0.9550,0.6992,24.3176,270.9911,258.9911,0.7435
105.0000,14,189,11,66,0.1750,0.0550,0.5600,0.2667,0.1901,272.4136,0.8250,0.1750,0.5460,0.9450,0.6883,23.2866,272.4136,260.4136,0.7299
105.5000,10,188,12,70,0.1250,0.0600,0.4545,0.1961,0.1091,269.5886,0.8750,0.1250,0.5507,0.9400,0.6683,26.5230,269.5886,257.5886,0.7416
106.0000,12,190,10,68,0.1500,0.0500,0.5455,0.2353,0.1679,270.8492,0.8500,0.1500,0.5486,0.9500,0.6833,22.7045,270.8492,258.8492,0.7450
106.5000,13,184,16,67,0.1625,0.0800,0.4483,0.2385,0.1223,265.7953,0.8375,0.1625,0.5570,0.9200,0.6675,26.4301,265.7953,253.7953,0.7500
