time_s,tp,tn,fp,fn,dr,fpr,precision,f1,mcc,atk_error_m,rsr,amsr,i_leak,mcar,nsd,detection_ms,trust_score,cnn_conf
101.5000,64,184,16,16,0.8000,0.0800,0.8000,0.8000,0.7200,120.0000,0.2000,0.8000,0.2000,0.9200,0.8800,24.8191,0.6184,0.4284
102.0000,62,186,14,18,0.7750,0.0700,0.8158,0.7949,0.7162,135.0000,0.2250,0.7750,0.2250,0.9300,0.8783,25.1223,0.6236,0.4336
102.5000,52,189,11,28,0.6500,0.0550,0.8254,0.7273,0.6437,210.0000,0.3500,0.6500,0.3500,0.9450,0.8467,23.9166,0.6143,0.4243
103.0000,53,195,5,27,0.6625,0.0250,0.9138,0.7681,0.7106,202.5000,0.3375,0.6625,0.3375,0.9750,0.8708,23.1751,0.6102,0.4202
103.5000,58,190,10,22,0.7250,0.0500,0.8529,0.7838,0.7111,165.0000,0.2750,0.7250,0.2750,0.9500,0.8750,24.9212,0.6223,0.4323
104.0000,55,195,5,25,0.6875,0.0250,0.9167,0.7857,0.7294,187.5000,0.3125,0.6875,0.3125,0.9750,0.8792,26.4455,0.6336,0.4436
104.5000,50,192,8,30,0.6250,0.0400,0.8621,0.7246,0.6521,225.0000,0.3750,0.6250,0.3750,0.9600,0.8483,27.6849,0.6376,0.4476
105.0000,47,190,10,33,0.5875,0.0500,0.8246,0.6861,0.6030,247.5000,0.4125,0.5875,0.4125,0.9500,0.8292,25.1933,0.6324,0.4424
105.5000,46,185,15,34,0.5750,0.0750,0.7541,0.6525,0.5472,255.0000,0.4250,0.5750,0.4250,0.9250,0.8083,24.7310,0.6196,0.4296
106.0000,57,193,7,23,0.7125,0.0350,0.8906,0.7917,0.7289,172.5000,0.2875,0.7125,0.2875,0.9650,0.8808,24.7429,0.6284,0.4384
106.5000,62,192,8,18,0.7750,0.0400,0.8857,0.8267,0.7668,135.0000,0.2250,0.7750,0.2250,0.9600,0.8983,22.8370,0.6381,0.4481
107.0000,57,187,13,23,0.7125,0.0650,0.8143,0.7600,0.6755,172.5000,0.2875,0.7125,0.2875,0.9350,0.8608,25.3646,0.6140,0.4240
107.5000,54,188,12,26,0.6750,0.0600,0.8182,0.7397,0.6546,195.0000,0.3250,0.6750,0.3250,0.9400,0.8517,25.3985,0.6497,0.4597
108.0000,61,185,15,19,0.7625,0.0750,0.8026,0.7821,0.6984,142.5000,0.2375,0.7625,0.2375,0.9250,0.8708,28.0773,0.6214,0.4314
108.5000,60,184,16,20,0.7500,0.0800,0.7895,0.7692,0.6806,150.0000,0.2500,0.7500,0.2500,0.9200,0.8633,26.3439,0.6159,0.4259
109.0000,57,189,11,23,0.7125,0.0550,0.8382,0.7703,0.6927,172.5000,0.2875,0.7125,0.2875,0.9450,0.8675,24.1549,0.6238,0.4338
109.5000,59,190,10,21,0.7375,0.0500,0.8551,0.7919,0.7207,157.5000,0.2625,0.7375,0.2625,0.9500,0.8792,26.3324,0.6353,0.4453
110.0000,53,188,12,27,0.6625,0.0600,0.8154,0.7310,0.6447,202.5000,0.3375,0.6625,0.3375,0.9400,0.8475,27.1895,0.6275,0.4375
110.5000,66,193,7,14,0.8250,0.0350,0.9041,0.8627,0.8129,105.0000,0.1750,0.8250,0.1750,0.9650,0.9183,25.7113,0.6196,0.4296
111.0000,60,187,13,20,0.7500,0.0650,0.8219,0.7843,0.7049,150.0000,0.2500,0.7500,0.2500,0.9350,0.8733,23.6744,0.6432,0.4532
